ID,COMMUNITY.AREA.NAME,BUILDING_SUBTYPE,TOTAL.KWH,THERMS.TOTAL.SQFT,KWH.MEAN.2010,THERM.MEAN.2010,THERMS.SQFT.MEAN.2010,Age_Group
10729,New City,Single Family,27330,6008,5466,1653,1201.6,Ancient
10730,New City,Single Family,98528,12634,9852.8,1320.73,1148.55,Ancient
10731,New City,Single Family,93009,14083,7154.54,1114.91,1280.27,Ancient
10733,New City,Single Family,41122,7508,6853.67,1347.17,1251.33,Middle3
10739,New City,Single Family,44839,5946,8967.8,1184.8,1189.2,Ancient
10743,New City,Single Family,50523,6281,8420.5,904,1256.2,Ancient
10744,New City,Single Family,40489,7883,6748.17,1109.29,1126.14,Ancient
10748,New City,Single Family,22540,7212,3220,1034.17,1202,Middle3
10755,New City,Single Family,91523,11112,8320.27,1327.1,1111.2,Ancient
10756,New City,Single Family,110687,19639,6149.28,1412.44,1227.44,Middle3
10758,New City,Single Family,53244,9467,6655.5,971,1183.38,Middle3
10762,New City,Single Family,123651,15466,9511.62,1534.75,1288.83,Ancient
10763,New City,Single Family,64333,11053,9190.43,1705,1228.11,Ancient
10765,New City,Single Family,74317,6780,10616.71,1916.83,1130,Ancient
10771,New City,Single Family,47780,6648,9556,1164.5,1108,Ancient
10775,New City,Single Family,162238,24852,8111.9,1341.25,1242.6,Middle3
10778,New City,Single Family,84717,9035,8471.7,1615.43,1290.71,Ancient
10779,New City,Single Family,44516,8478,6359.43,1295.14,1211.14,Ancient
10786,New City,Single Family,135560,23664,6778,1325.67,1126.86,Middle3
10788,New City,Single Family,14332,3172,4777.33,1326.33,1057.33,Ancient
10821,New City,Single Family,11606,3576,3868.67,1058,1192,Middle3
10830,New City,Single Family,31900,5051,7975,1746.5,1262.75,Middle3
10833,New City,Single Family,57964,7061,9660.67,1545.17,1176.83,Middle2
10836,New City,Single Family,59076,7808,9846,1288.17,1301.33,Middle3
10837,New City,Single Family,32793,3516,6558.6,1311.67,1172,Ancient
10839,New City,Single Family,53388,10635,7626.86,1377.63,1329.38,Ancient
10848,New City,Single Family,33685,4981,8421.25,1769.5,1245.25,Middle3
10851,New City,Single Family,30524,7264,4360.57,839.83,1210.67,Ancient
10852,New City,Single Family,38915,4148,7783,1366.25,1037,Ancient
10856,New City,Single Family,31757,2910,15878.5,996,970,Ancient
10857,New City,Single Family,22264,3720,7421.33,1504.33,1240,Ancient
10858,New City,Single Family,27777,3042,9259,1597,1014,Ancient
10860,New City,Single Family,40426,4044,10106.5,1284,1011,Middle3
10875,New City,Single Family,30732,3084,10244,1409,1028,Middle3
10881,New City,Single Family,70887,6988,11814.5,1315,1397.6,Middle3
10882,New City,Single Family,33407,3754,11135.67,1318.67,1251.33,Middle3
10884,New City,Single Family,31016,4996,10338.67,1919.25,1249,Ancient
10888,New City,Single Family,21465,2330,10732.5,1581.5,1165,Middle3
10892,New City,Single Family,35674,7570,8918.5,1274.67,1261.67,Ancient
10896,New City,Single Family,54626,6289,7803.71,1706.67,1048.17,Middle3
10903,New City,Single Family,10236,2340,5118,994.5,1170,Ancient
10907,New City,Single Family,41682,5057,8336.4,1883.5,1264.25,Ancient
10915,New City,Single Family,26452,3925,6613,1561.25,981.25,Middle2
10918,New City,Single Family,11374,3703,2843.5,1798.33,1234.33,Ancient
10938,New City,Single Family,31241,3405,10413.67,1735,1135,Ancient
10948,New City,Single Family,121869,15373,9374.54,1213.5,1281.08,Middle3
10951,New City,Single Family,84129,9694,7648.09,966.57,1384.86,Newer
10955,New City,Single Family,128442,10578,12844.2,1153.2,1057.8,Middle2
10958,New City,Single Family,46650,9862,4665,854.56,1095.78,Newer
10961,New City,Single Family,80460,10262,10057.5,1264.63,1282.75,Middle2
10963,New City,Single Family,101896,12832,7838.15,1095.92,987.08,Ancient
10965,New City,Single Family,48986,10491,8164.33,1450.75,1311.38,Middle3
10972,New City,Single Family,141249,14115,10089.21,1580,1283.18,Middle2
10975,New City,Single Family,114769,11795,12752.11,1458.56,1310.56,Ancient
10992,New City,Single Family,28615,3124,9538.33,1020.33,1041.33,Ancient
11010,North Center,Single Family,50929,8352,7275.57,1071.14,1193.14,Ancient
11014,North Center,Single Family,40150,5301,6691.67,1441.4,1060.2,Middle3
11021,North Center,Single Family,23246,2360,11623,1279,1180,Ancient
11023,North Center,Single Family,31762,3506,10587.33,2028.67,1168.67,Middle3
11034,North Center,Single Family,28290,3642,9430,1262.33,1214,Ancient
11035,North Center,Commercial,46974,2400,23487,1675.5,1200,Ancient
11045,North Center,Single Family,58065,6757,8295,1204.83,1126.17,Middle3
11057,North Center,Single Family,44221,6124,8844.2,1548,1224.8,Ancient
11068,North Center,Single Family,171210,17431,10700.63,1221.53,1245.07,Middle3
11069,North Center,Single Family,117232,12813,9769.33,1310.9,1281.3,Middle3
11071,North Center,Single Family,90576,8948,11322,1123.5,1118.5,Ancient
11077,North Lawndale,Single Family,25398,3276,8466,2245,1092,Ancient
11086,North Lawndale,Single Family,49768,6917,8294.67,1588.57,988.14,Ancient
11092,North Lawndale,Single Family,67850,5628,13570,1780.4,1125.6,Ancient
11095,North Lawndale,Single Family,40532,2552,10133,1902,1276,Ancient
11099,North Lawndale,Single Family,42391,8005,5298.88,1616.5,1334.17,Ancient
11108,North Lawndale,Single Family,76492,13965,8499.11,1187.5,1396.5,Middle2
11112,North Lawndale,Single Family,20742,4581,5185.5,2097.5,1145.25,Middle3
11115,North Lawndale,Single Family,22486,4152,7495.33,1527.25,1038,Middle1
11117,North Lawndale,Single Family,63885,9520,10647.5,1612,1360,Ancient
11119,North Lawndale,Single Family,16952,2441,8476,913,1220.5,Middle1
11124,North Lawndale,Single Family,27214,4934,5442.8,1399,1233.5,Middle1
11128,North Lawndale,Single Family,20687,2622,6895.67,1815.5,1311,Ancient
11129,North Lawndale,Single Family,22173,3276,7391,1420,1092,Ancient
11131,North Lawndale,Single Family,49190,3600,12297.5,2276,1200,Middle3
11136,North Lawndale,Single Family,42246,4519,7041,1198.25,1129.75,Middle3
11138,North Lawndale,Single Family,59924,9430,6658.22,1690.22,1047.78,Middle3
11144,North Lawndale,Single Family,94254,12185,8568.55,1767.91,1107.73,Middle3
11149,North Lawndale,Single Family,37991,4404,9497.75,2123.75,1101,Middle3
